#starname       AV                   EBV                  RV
als6255         3.184 +/- 0.042      0.696 +/- 0.072      4.574 +/- 0.480     
als2380         2.137 +/- 0.037      0.479 +/- 0.068      4.465 +/- 0.637     
als2380         1.770 +/- 0.037      0.379 +/- 0.068      4.671 +/- 0.842     
als2380         1.770 +/- 0.037      0.379 +/- 0.068      4.671 +/- 0.842     
als2380         2.137 +/- 0.037      0.479 +/- 0.068      4.465 +/- 0.637     
als14-451       2.455 +/- 0.036      0.543 +/- 0.028      4.518 +/- 0.239     
als14-451       2.455 +/- 0.036      0.543 +/- 0.028      4.518 +/- 0.239     
als14-451       2.076 +/- 0.036      0.451 +/- 0.028      4.603 +/- 0.293     
als1883         2.660 +/- 0.036      0.592 +/- 0.033      4.495 +/- 0.259     
als1883         2.660 +/- 0.036      0.592 +/- 0.033      4.495 +/- 0.259     
als1883         2.660 +/- 0.036      0.592 +/- 0.033      4.495 +/- 0.259     
als1883         2.660 +/- 0.036      0.592 +/- 0.033      4.495 +/- 0.259     
als7875         2.375 +/- 0.036      0.544 +/- 0.036      4.369 +/- 0.293     
als14-450       1.942 +/- 0.037      0.444 +/- 0.067      4.371 +/- 0.666     
als14-450       1.982 +/- 0.037      0.464 +/- 0.067      4.274 +/- 0.624     
als14-450       1.929 +/- 0.037      0.444 +/- 0.067      4.342 +/- 0.662     
als606          2.401 +/- 0.017      0.540 +/- 0.025      4.446 +/- 0.209     
als606          2.401 +/- 0.017      0.540 +/- 0.025      4.446 +/- 0.209     
als3382         2.986 +/- 0.037      0.686 +/- 0.050      4.355 +/- 0.323     
als3382         3.013 +/- 0.037      0.693 +/- 0.050      4.346 +/- 0.319     
als1866         2.146 +/- 0.036      0.498 +/- 0.032      4.313 +/- 0.283     
als1866         2.162 +/- 0.036      0.507 +/- 0.032      4.266 +/- 0.275     
als1866         2.135 +/- 0.036      0.496 +/- 0.032      4.308 +/- 0.284     
als2986         1.756 +/- 0.036      0.416 +/- 0.066      4.219 +/- 0.673     
als2986         1.756 +/- 0.036      0.416 +/- 0.066      4.219 +/- 0.673     
als2986         1.756 +/- 0.036      0.416 +/- 0.066      4.219 +/- 0.673     
als2986         1.793 +/- 0.036      0.429 +/- 0.066      4.174 +/- 0.646     
als543          3.314 +/- 0.037      0.760 +/- 0.051      4.363 +/- 0.299     
als543          3.319 +/- 0.037      0.761 +/- 0.051      4.363 +/- 0.298     
als543          3.351 +/- 0.037      0.766 +/- 0.051      4.377 +/- 0.297     
als1723         2.101 +/- 0.036      0.496 +/- 0.031      4.234 +/- 0.278     
als15-406       1.281 +/- 0.038      0.302 +/- 0.066      4.237 +/- 0.940     
als11-832       1.626 +/- 0.036      0.393 +/- 0.074      4.141 +/- 0.787     
als11-832       1.569 +/- 0.036      0.376 +/- 0.074      4.176 +/- 0.830     
als1622         1.843 +/- 0.036      0.450 +/- 0.041      4.099 +/- 0.385     
als1622         1.843 +/- 0.036      0.450 +/- 0.041      4.099 +/- 0.385     
als3909         1.939 +/- 0.036      0.463 +/- 0.055      4.184 +/- 0.507     
als2017         2.129 +/- 0.036      0.508 +/- 0.030      4.194 +/- 0.260     
als10-541       1.672 +/- 0.037      0.402 +/- 0.092      4.159 +/- 0.951     
als612          3.923 +/- 0.036      0.756 +/- 0.030      5.191 +/- 0.211     
als612          3.599 +/- 0.036      0.680 +/- 0.030      5.290 +/- 0.238     
als612          3.636 +/- 0.036      0.695 +/- 0.030      5.234 +/- 0.231     
als612          3.990 +/- 0.036      0.775 +/- 0.030      5.145 +/- 0.204     
als612          3.673 +/- 0.036      0.686 +/- 0.030      5.356 +/- 0.239     
als612          4.127 +/- 0.036      0.811 +/- 0.030      5.087 +/- 0.193     
als612          3.673 +/- 0.036      0.687 +/- 0.030      5.345 +/- 0.238     
als612          3.628 +/- 0.036      0.673 +/- 0.030      5.393 +/- 0.245     
als612          3.628 +/- 0.036      0.673 +/- 0.030      5.393 +/- 0.245     
als11-061       1.925 +/- 0.038      0.374 +/- 0.103      5.154 +/- 1.429     
als8228         3.285 +/- 0.036      0.524 +/- 0.063      6.274 +/- 0.756     
als8228         3.285 +/- 0.036      0.524 +/- 0.063      6.274 +/- 0.756     
als8228         3.267 +/- 0.036      0.519 +/- 0.063      6.301 +/- 0.767     
als8228         3.316 +/- 0.036      0.531 +/- 0.063      6.240 +/- 0.741     
als8228         3.318 +/- 0.036      0.531 +/- 0.063      6.254 +/- 0.744     
als8228         3.291 +/- 0.036      0.526 +/- 0.063      6.259 +/- 0.751     
als8228         3.291 +/- 0.036      0.526 +/- 0.063      6.259 +/- 0.751     
als8228         3.288 +/- 0.036      0.525 +/- 0.063      6.257 +/- 0.751     
als8228         3.288 +/- 0.036      0.525 +/- 0.063      6.257 +/- 0.751     
als8228         3.309 +/- 0.036      0.531 +/- 0.063      6.227 +/- 0.740     
als8228         3.308 +/- 0.036      0.529 +/- 0.063      6.247 +/- 0.745     
als8228         3.305 +/- 0.036      0.529 +/- 0.063      6.253 +/- 0.746     
als8228         3.303 +/- 0.036      0.526 +/- 0.063      6.275 +/- 0.752     
als14-652-ab    2.398 +/- 0.036      0.380 +/- 0.073      6.304 +/- 1.209     
als14-652-ab    2.586 +/- 0.036      0.445 +/- 0.073      5.815 +/- 0.955     
als14-652-ab    2.518 +/- 0.036      0.426 +/- 0.073      5.906 +/- 1.011     
als14-652-ab    2.605 +/- 0.036      0.449 +/- 0.073      5.799 +/- 0.942     
als14-652-ab    2.607 +/- 0.036      0.450 +/- 0.073      5.794 +/- 0.940     
als2322         2.164 +/- 0.037      0.427 +/- 0.066      5.070 +/- 0.784     
als2322         2.144 +/- 0.037      0.422 +/- 0.066      5.080 +/- 0.794     
als2322         2.155 +/- 0.037      0.425 +/- 0.066      5.071 +/- 0.788     
als612          3.931 +/- 0.036      0.755 +/- 0.030      5.209 +/- 0.212     
als612          3.535 +/- 0.036      0.646 +/- 0.030      5.470 +/- 0.259     
als612          4.050 +/- 0.036      0.790 +/- 0.030      5.126 +/- 0.199     
als612          4.054 +/- 0.036      0.792 +/- 0.030      5.118 +/- 0.198     
als612          4.022 +/- 0.036      0.784 +/- 0.030      5.133 +/- 0.201     
als612          4.135 +/- 0.036      0.814 +/- 0.030      5.080 +/- 0.192     
als612          4.142 +/- 0.036      0.817 +/- 0.030      5.067 +/- 0.190     
als612          4.128 +/- 0.036      0.811 +/- 0.030      5.087 +/- 0.193     
als612          4.140 +/- 0.036      0.817 +/- 0.030      5.069 +/- 0.191     
als612          3.571 +/- 0.036      0.654 +/- 0.030      5.463 +/- 0.256     
als612          4.088 +/- 0.036      0.803 +/- 0.030      5.092 +/- 0.195     
als612          4.114 +/- 0.036      0.810 +/- 0.030      5.078 +/- 0.192     
als11-061       1.883 +/- 0.038      0.361 +/- 0.103      5.215 +/- 1.496     
als2322         2.155 +/- 0.037      0.425 +/- 0.066      5.071 +/- 0.788     
als2322         2.156 +/- 0.037      0.427 +/- 0.066      5.054 +/- 0.782     
als2322         2.145 +/- 0.037      0.422 +/- 0.066      5.079 +/- 0.794     
als2322         2.175 +/- 0.037      0.432 +/- 0.066      5.031 +/- 0.768     
als2322         2.155 +/- 0.037      0.425 +/- 0.066      5.071 +/- 0.788     
als612          4.117 +/- 0.036      0.810 +/- 0.030      5.086 +/- 0.193     
als11-061       1.883 +/- 0.038      0.361 +/- 0.103      5.215 +/- 1.496     
als2322         2.155 +/- 0.037      0.425 +/- 0.066      5.071 +/- 0.788     
als8228         3.303 +/- 0.036      0.526 +/- 0.063      6.275 +/- 0.752     
als14-652-ab    2.607 +/- 0.036      0.450 +/- 0.073      5.794 +/- 0.940     
als612          4.117 +/- 0.036      0.810 +/- 0.030      5.086 +/- 0.193     
